Ticker,Pct Change,MarketCap,Weight,Weighted Change,GICS Sector
PODD,5.433581827,12612014080,0.000259702,0.001411111,Health Care
POOL,-0.720371664,13892656128,0.000286072,-0.000206078,Consumer Discretionary
PPG,0.305292233,30817988608,0.000634592,0.000193736,Materials
PPL,-0.347464834,21158412288,0.000435686,-0.000151386,Utilities
PRU,1.281291604,42859311104,0.000882543,0.001130795,Financials
PSA,-0.718024059,47865733120,0.000985633,-0.000707708,Real Estate
PSX,0.344602452,60489469952,0.001245577,0.000429229,Energy
PTC,0.219054701,21913151488,0.000451227,9.88435E-05,Information Technology
PWR,2.487797934,41490751488,0.000854362,0.00212548,Industrials
PYPL,0.097430264,64478519296,0.001327718,0.00012936,Financials
QCOM,4.262493228,2.34762E+11,0.004834126,0.020605431,Information Technology
QRVO,1.476357935,9399385088,0.000193549,0.000285747,Information Technology
RCL,1.448974884,38198308864,0.000786565,0.001139713,Consumer Discretionary
REG,0.033744656,11020766208,0.000226935,7.65786E-06,Real Estate
REGN,0.453818919,1.08535E+11,0.002234921,0.001014249,Health Care
RF,1.057086481,17510612992,0.000360572,0.000381156,Financials
RHI,-0.433861912,6983291392,0.000143797,-6.23882E-05,Industrials
RJF,2.001783964,26087882752,0.000537192,0.001075342,Financials
RL,2.288134373,10842255360,0.00022326,0.000510848,Consumer Discretionary
RMD,0.794022432,31329388544,0.000645123,0.000512242,Health Care
ROK,0.816663128,30117312512,0.000620164,0.000506465,Industrials
ROL,1.784921859,22380670976,0.000460854,0.000822589,Industrials
ROP,0.007340536,58303127552,0.001200556,8.81273E-06,Information Technology
ROST,7.788566832,47657185280,0.000981339,0.007643224,Consumer Discretionary
RSG,0.257605175,58832445440,0.001211456,0.000312077,Industrials
